VEHICLE_TAG,REPORT_TIME,PATTERN_MEASURE,PATTERN_OFFSET,TRIP_TAG,PATTERN_NAME,ROUTE,PATTERN_MEASURE_1,TRAPEZE_PATTERN_NAME,REPORT_HOUR,REPORT_MINUTE,LONGITUDE,LATITUDE
"5463","2/5/2015 6:44:32. AM","7202.46895753589","-2.58538510878531","6542402","24___I_F00","24","7202.46895753589","24   I F00","6","44","-122.43528","37.76395"
"5435","2/5/2015 6:44:36. AM","4426.29897075468","-0.428516366676671","6542403","24___I_F00","24","4426.29897075468","24   I F00","6","44","-122.42972","37.74191"
"5429","2/5/2015 6:44:46. AM","3319.40870976125","-1.192486257591","6542419","24___I_F00","24","3319.40870976125","24   I F00","6","44","-122.42028","37.74"
"5429","2/5/2015 6:45:24. AM","3514.18258976303","7.20482876290373","6542419","24___I_F00","24","3514.18258976303","24   I F00","6","45","-122.42229","37.74073"
"5435","2/5/2015 6:45:29. AM","4690.49941875458","5.93375040753449","6542403","24___I_F00","24","4690.49941875458","24   I F00","6","45","-122.43116","37.74326"
"5437","2/5/2015 6:45:29. AM","121.575783292151","-0.0643685165958885","6542420","24___I_F00","24","121.575783292151","24   I F00","6","45","-122.39054","37.73525"
"5437","2/5/2015 6:45:31. AM","121.575783292151","-0.0643685165958885","6542420","24___I_F00","24","121.575783292151","24   I F00","6","45","-122.39054","37.73525"
"5463","2/5/2015 6:45:58. AM","7757.56238418413","7.03042377585058","6542402","24___I_F00","24","7757.56238418413","24   I F00","6","45","-122.43587","37.76893"
"5429","2/5/2015 6:46:32. AM","3702.81534150326","-3.99008249327067","6542419","24___I_F00","24","3702.81534150326","24   I F00","6","46","-122.42214","37.74205"
"5463","2/5/2015 6:46:39. AM","7993.04106995279","3.96882943050685","6542402","24___I_F00","24","7993.04106995279","24   I F00","6","46","-122.43699","37.77075"
"5435","2/5/2015 6:46:49. AM","4883.84418507121","2.09951751631716","6542403","24___I_F00","24","4883.84418507121","24   I F00","6","46","-122.43128","37.745"
"5435","2/5/2015 6:47:10. AM","5076.57217958675","3.73692640788173","6542403","24___I_F00","24","5076.57217958675","24   I F00","6","47","-122.43147","37.74673"
"5463","2/5/2015 6:47:30. AM","8197.55368451642","10.3297199290939","6542402","24___I_F00","24","8197.55368451642","24   I F00","6","47","-122.43743","37.77256"
"5437","2/5/2015 6:47:52. AM","455.996717863559","-0.189267463238999","6542420","24___I_F00","24","455.996717863559","24   I F00","6","47","-122.39272","37.73511"
"5429","2/5/2015 6:47:57. AM","3834.09793634968","0.919538981780851","6542419","24___I_F00","24","3834.09793634968","24   I F00","6","47","-122.42302","37.74231"
"5429","2/5/2015 6:48:10. AM","3843.7640306935","0.172576129402302","6542419","24___I_F00","24","3843.7640306935","24   I F00","6","48","-122.42313","37.74231"
"5435","2/5/2015 6:48:24. AM","5329.59827288142","-4.15364968068994","6542403","24___I_F00","24","5329.59827288142","24   I F00","6","48","-122.43255","37.74821"
"5437","2/5/2015 6:48:40. AM","657.850864834798","-2.34026006700173","6542420","24___I_F00","24","657.850864834798","24   I F00","6","48","-122.39454","37.73606"
"5463","2/5/2015 6:48:54. AM","8403.94987498112","7.41648734065178","6542402","24___I_F00","24","8403.94987498112","24   I F00","6","48","-122.43777","37.7744"
"5429","2/5/2015 6:49:24. AM","4129.84037966625","-4.75542400677557","6542419","24___I_F00","24","4129.84037966625","24   I F00","6","49","-122.42637","37.74215"
"5463","2/5/2015 6:49:49. AM","8600.18060628982","4.355115748189","6542402","24___I_F00","24","8600.18060628982","24   I F00","6","49","-122.43809","37.77615"
"5435","2/5/2015 6:49:53. AM","5600.46985399501","-3.07966169465451","6542403","24___I_F00","24","5600.46985399501","24   I F00","6","49","-122.43389","37.74956"
"5437","2/5/2015 6:49:55. AM","1247.39022993238","-2.1808746690684","6542420","24___I_F00","24","1247.39022993238","24   I F00","6","49","-122.39998","37.73915"
"5463","2/5/2015 6:50:18. AM","8796.67984243438","3.40545378694263","6542402","24___I_F00","24","8796.67984243438","24   I F00","6","50","-122.43843","37.7779"
"5437","2/5/2015 6:50:50. AM","1665.76656340324","-6.73998999372402","6542420","24___I_F00","24","1665.76656340324","24   I F00","6","50","-122.40434","37.73876"
"5429","2/5/2015 6:50:56. AM","4569.7567372231","-0.601089106231654","6542419","24___I_F00","24","4569.7567372231","24   I F00","6","50","-122.43098","37.74218"
"5435","2/5/2015 6:51:26. AM","5859.35101114635","5.329063276552","6542403","24___I_F00","24","5859.35101114635","24   I F00","6","51","-122.43421","37.75188"
